Rank ,Word ,Meaning ,Word form ,Inflected forms 
1,system,cs,n,systems
2,data,cs,n,"datas, datum, datums"
3,algorithm,cs,n,algorithms
4,such,,adj,
5,base,cs,v,"based, basing, bases"
6,node,cs,n,nodes
7,model,cs,n,models
8,case,cs,n,cases
9,program,cs,n,"programs, programme, programmes"
10,information,cs,n,
11,set,cs,n,sets
12,code,cs,n,codes
13,function,cs,n,functions
14,process,cs,n,processes
15,application,cs,n,applications
16,software,cs,n,
17,class,cs,n,classes
18,point,cs,n,points
19,type,cs,n,types
20,network,cs,n,networks
21,tree,cs,n,trees
22,object,cs,n,objects
23,element,cs,n,elements
24,input,cs,n,inputs
25,operation,cs,n,operations
26,level,cs,n,levels
27,memory,cs,n,memories
28,table,cs,n,tables
29,order,cs,n,orders
30,file,cs,n,files
31,variable,cs,n,variables
32,language,cs,n,languages
33,write,cs,v,"written, wrote, writing, writes"
34,list,cs,n,lists
35,structure,cs,n,structures
36,compute,math,v,"computes, computed, computing"
37,sequence,cs,n,sequences
38,computer,cs,n,computers
39,bit,cs,n,bits
40,probability,cs,n,probabilities
41,machine,cs,n,machines
42,array,cs,n,arrays
43,page,cs,n,pages
44,error,cs,n,errors
45,step,cs,n,steps
46,search,cs,n,searches
47,most,,adj,
48,path,cs,n,paths
49,graph,cs,n,graphs
50,web,cs,n,webs
51,length,cs,n,lengths
52,several,,adj,
53,security,cs,n,securities
54,proof,cs,n,proofs
55,access,cs,n,accesses
56,obtain,,v,"obtained, obtaining, obtains"
57,matrix,cs,n,"matrices, matrixes"
58,task,cs,n,tasks
59,image,cs,n,images
60,form,cs,n,forms
61,return,cs,n,returns
62,interface,cs,n,interfaces
63,resource,cs,n,resources
64,address,cs,n,addresses
65,implementation,cs,n,implementations
66,loop,cs,n,loops
67,first,cs,adv,
68,read,cs,v,"reading, reads"
69,location,cs,n,locations
70,hardware,cs,n,
71,behavior,,n,"behaviors, behaviour, behaviours"
72,programming,cs,n,
73,field,cs,n,fields
74,key,cs,n,keys
75,parameter,cs,n,parameters
76,distribution,cs,n,distributions
77,definition,cs,n,definitions
78,instance,cs,n,instances
79,interaction,cs,n,interactions
80,internet,cs,n,
81,representation,cs,n,representations
82,edge,cs,n,edges
83,stack,cs,n,stacks
84,return,cs,v,"returning, returned, returns"
85,procedure,cs,n,procedures
