Rank ,Word ,Meaning ,Word form ,Inflected forms 
1,string,cs,n,strings
2,integer,cs,n,integers
3,instruction,cs,n,instructions
4,statement,cs,n,statements
5,sensor,cs,n,sensors
6,disk,cs,n,disks
7,register,cs,n,registered
8,theorem,math,n,theorems
9,byte,cs,n,bytes
10,thread,,n,threads
11,heap,cs,n,heaps
12,accept,cs,v,"accepted, accepting, accepts"
13,trajectory,math,n,trajectories
14,privacy,cs,n,privacies
15,video,cs,n,videos
16,attacker,,n,attackers
17,pointer,cs,n,pointers
18,mesh,cs,n,meshed
19,password,cs,n,passwords
20,hash,,n,hashes
21,display,cs,n,displays
22,void,,n,voids
23,programmer,cs,n,programmers
24,vulnerability,cs,n,vulnerabilities
25,fault,cs,n,faults
26,provider,,n,providers
27,digit,math,n,digits
28,insertion,,n,insertions
29,queue,cs,n,queues
30,lock,cs,n,locks
31,merge,,v,"merging, merged, merges"
32,encryption,cs,n,encryptions
33,malware,cs,n,
34,radius,cs,n,"radii, radiuses"
35,correlation,cs,n,correlations
36,height,cs,n,heights
37,pipeline,,n,pipelines
38,classifier,,n,classifiers
39,invoke,,v,"invokes, invoked, invoking"
40,circuit,cs,n,circuits
41,assembly,,n,assemblies
42,directory,cs,n,directories
43,lemma,math,n,lemmas
44,packet,cs,n,packets
45,recursive,cs,adj,
46,listing,cs,n,listings
47,methodology,cs,n,methodologies
48,virtualization,,n,"virtualisation, virtualisations, virtualizations"
49,polynomial,cs,adj,
50,ray,math,n,rays
51,overlay,cs,n,overlays
52,bandwidth,cs,n,bandwidths
53,botnet,cs,n,botnets
54,expansion,cs,n,expansions
55,compression,cs,n,compressions
56,proposition,math,n,propositions
57,scheduling,,n,
58,insert,cs,n,inserts
59,semantic,,adj,
60,tape,cs,n,tapes
61,vertices,,n,
62,variance,cs,n,variances
63,reliability,cs,n,reliabilities
64,unsigned,cs,adj,
65,censorship,,n,
66,density,cs,n,densities
67,modeling,,n,
68,latency,cs,n,latencies
69,import,,n,imports
70,migration,,n,migrations
71,tensor,math,n,tensors
72,subproblem,,n,subproblems
73,mining,,n,
74,deviation,math,n,deviations
75,pricing,,n,
76,geometry,math,n,geometries
77,scanner,cs,n,scanners
78,pane,,n,panes
79,subtree,cs,n,subtrees
80,sense,cs,v,"senses, sensed, sensing"
81,warp,,n,warps
82,routine,cs,n,routines
83,recurrence,cs,n,recurrences
84,usability,,n,
85,rank,cs,n,ranks
86,induction,cs,n,inductions
87,coin,,n,coins
88,encrypt,,v,"encrypts, encrypted, encrypting"
89,mod,cs,n,mods
90,clause,,n,clauses
91,math,,n,maths
92,constructor,,n,constructors
93,complement,cs,n,complements
94,pixel,cs,n,pixels
95,particle,math,n,particles
96,hash,,v,"hashes, hashed, hashing"
97,mathematics,math,n,
98,triangle,math,n,triangles
99,email,cs,n,emails
100,patch,cs,n,patches
101,print,,n,prints
102,jump,cs,n,jumps
103,wire,,n,wires
104,creator,,n,creators
105,floating,,adj,
106,recursion,cs,n,recursions
107,prompt,cs,v,"prompted, prompts, prompting"
108,gesture,cs,n,gestures
109,quantifier,cs,n,quantifiers
110,propagation,,n,propagations
111,leaf,cs,n,"leaves, leafs"
112,grammar,cs,n,grammars
113,amortize,,v,"amortized, amortizing, amortizes, amortised, amortising, amortises"
114,operand,cs,n,operands
115,animation,cs,n,animations
116,button,cs,n,buttons
117,suffix,cs,n,suffixes
118,quicksort,cs,n,quicksorts
119,defense,,n,defenses
120,wireless,cs,n,wirelesses
121,nil,,n,nils
122,handler,,n,handlers
123,scheduler,cs,n,schedulers
124,ontology,cs,n,ontologies
125,reuse,,n,reuses
126,tactile,,adj,
127,needle,,n,needles
128,boolean,,adj,
129,deformation,,n,deformations
130,decimal,,adj,
131,hazard,cs,n,hazards
132,governance,,n,governances
133,rational,,adj,
134,binomial,math,adj,
135,segmentation,,n,segmentations
136,mobility,,n,mobilities
137,sink,math,n,sinks
138,flag,cs,n,flags
139,cyber,,adj,
140,taint,,n,taints
141,inject,,v,"injecting, injected, injects"
142,predicate,cs,n,predicates
143,meter,,n,meters
144,polynomial,cs,n,polynomials
145,orientation,,n,orientations
146,joint,,n,joints
147,injection,cs,n,injections
148,deletion,,n,deletions
149,prefix,cs,n,prefixes
150,hypervisor,cs,n,hypervisors
151,decode,,v,"decoded, decoding, decodes"
152,routing,cs,n,routings
153,organizational,,adj,organisational
154,divide,,n,divides
155,tuple,cs,n,tuples
156,modulo,,n,moduli
157,gadget,,n,gadgets
158,certificate,cs,n,certificates
159,architectural,,adj,
160,inductive,,adj,
161,semantics,cs,n,
162,contradiction,cs,n,contradictions
163,subsequence,cs,n,subsequences
164,subarray,,n,subarrays
165,orchestration,,n,orchestrations
166,acceleration,math,n,accelerations
167,histogram,cs,n,histograms
168,module,cs,n,modules
169,radar,,n,radars
170,authentication,cs,n,
171,agile,,adj,
172,slice,cs,n,slices
173,exploit,,n,exploits
174,rate,cs,v,"rates, rated, rating"
175,plot,math,v,"plots, plotting, plotted"
176,tip,cs,n,tips
177,blog,cs,n,blogs
178,ethical,,adj,
179,decidable,math,adj,
180,strut,math,n,struts
181,calendar,,n,calendars
182,polygon,math,n,polygons
183,numeric,,adj,
184,transportation,,n,transportations
185,voltage,,n,voltages
186,handle,cs,n,handles
187,solver,,n,solvers
188,subclass,,n,subclasses
189,pivot,math,n,pivots
190,delete,cs,n,deletes
191,judgment,,n,judgments
192,enforcement,,n,enforcements
193,neighborhood,,n,neighborhoods
194,rod,math,n,rods
195,correlate,,v,"correlated, correlating, correlates"
196,negation,cs,n,negations
197,documentation,cs,n,documentations
198,rout,,v,"routing, routed, routs"
199,token,cs,n,tokens
200,worm,cs,n,worms
201,flip,,n,flips
202,successor,,n,successors
203,hexadecimal,,n,hexadecimals
204,clone,cs,n,clones
205,convergence,cs,n,convergences
206,atomic,,adj,
207,navigation,,n,navigations
208,lens,,n,lenses
209,wait,,n,waits
210,recommender,,n,recommenders
211,pump,,v,"pumps, pumped, pumping"
212,nondeterministic,,adj,
213,drift,,n,drifts
