#,Discourse Connector,Class,Category,BNC academic,COCA academic,BNC spoken,COCA spoken,BNC non-academic,COCA general,BNC all,COCA all
1,and,Additive,Reinforcing,26878.3,30325.9,26078.2,26011.1,27614.2,25498.7,26878.4,26675.1
2,or,Additive,Reinforcing,5120.9,4320.6,3176,2542.9,3574.7,3362.9,3772.3,3391.7
3,as,Comparison,,2576,1285.1,149.2,56.1,1818.1,1186.6,6712.7,5918.8
4,if,Consequential,Conditional,2082.9,1233.5,4683.8,2989.1,1570.9,1955.7,2603.5,2310.2
5,when,Sequential,Timing,1446.3,1502.8,2890.2,2580.5,1688.8,2384.3,2153.3,2349.3
6,also,Additive,Reinforcing,1315.7,1331,473.4,755.1,1384.7,930,1262.5,1156.7
7,however,Contrastive,Concessive,1219.9,897,92.4,97.7,831.8,309.1,612.6,343
8,after,Sequential,Transitionals,836.4,757.3,655.1,954.2,971.6,1248.1,1162.3,1132.8
9,as,Consequential,Causative,792,492.6,172.3,493.4,1038.2,313.8,6712.7,5918.8
10,even,Clarification,Emphasizing,735.2,724.9,484.2,842.6,713.5,942.6,899.5,1094.6
11,because,Consequential,Causative,733.5,855.7,2106.9,1966,648,912.5,1033.4,1278.5
12,much,Additive,Reinforcing,699.8,530,1117,1160.1,715.1,736,924.7,915.5
13,although,Contrastive,Antithetic,693.6,578.9,165.9,101.9,549.7,243.7,438.7,261.4
14,before,Sequential,Transitionals,670.4,483.1,795.3,783.1,664.6,841.8,872.7,833.7
15,rather,Contrastive,Antithetic,663.5,464.1,339.6,188.8,448.3,215.8,429.4,247.4
16,such as,Apposition,Exemplification,617.2,668.1,44.1,51.4,477.4,366.2,326.8,295.6
17,as... as,Comparison,,602.1,1052.5,248,783.7,539.6,1456.7,952.4,912.5
18,for example,Apposition,Exemplification,597.5,467.2,111,130.4,315,167.3,244.4,189.8
19,like,Comparison,,564.7,104.3,3676.1,535,730.5,1607,1516.6,1964.3
20,again,Contrastive,Replacive,561.5,40.2,3651.9,23.4,726.5,23.4,590.4,511
21,since,Sequential,Timing,548.8,408.9,163.6,291.2,516.5,499.8,500.6,486.7
22,while,Contrastive,Concessive,542,446.5,201.9,134.1,510.3,517,561.5,653.6
23,during,Sequential,Transitionals,517.8,790,156.9,267,650,542.3,444.5,469.3
24,now,Sequential,Timing,500.2,205.4,1916.6,1775.1,646.1,343,1431.6,1545.7
25,therefore,Consequential,Resultative,484.9,233.3,125.9,44.2,200.7,34.3,237.3,86.6
26,right,Clarification,Corroborative,463.9,323.6,3418.2,2089.2,362.2,621,933.1,1091.2
27,then,Additive,Reinforcing,396.7,174.8,1009.3,418.2,289.3,683.5,1591.7,1347.9
28,then,Consequential,Resultative,395.7,210.2,2016.1,559.5,578.3,152.5,1591.7,1347.9
29,more... than,Comparison,,382.7,390,170.1,338.6,247.5,729,267.7,446.9
